"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 4: West","CENS-R4","Montana","30","2013","2013","Renal failure","N17-N19",45,1015165,4.4
"Total","Census Region 4: West","CENS-R4","Montana","30","2013","2013",,,90,1015165,8.9
,"Census Region 4: West","CENS-R4","Montana","30","2014","2014","Other bacterial diseases","A30-A49",50,1023579,4.9
,"Census Region 4: West","CENS-R4","Montana","30","2014","2014","Renal failure","N17-N19",50,1023579,4.9
"Total","Census Region 4: West","CENS-R4","Montana","30","2014","2014",,,100,1023579,9.8
,"Census Region 4: West","CENS-R4","Montana","30","2015","2015","Other bacterial diseases","A30-A49",53,1032949,5.1
,"Census Region 4: West","CENS-R4","Montana","30","2015","2015","Renal failure","N17-N19",53,1032949,5.1
"Total","Census Region 4: West","CENS-R4","Montana","30","2015","2015",,,106,1032949,10.3
,"Census Region 4: West","CENS-R4","Montana","30","2016","2016","Other bacterial diseases","A30-A49",40,1042520,3.8
,"Census Region 4: West","CENS-R4","Montana","30","2016","2016","Renal failure","N17-N19",40,1042520,3.8
"Total","Census Region 4: West","CENS-R4","Montana","30","2016","2016",,,80,1042520,7.7
,"Census Region 4: West","CENS-R4","Montana","30","2017","2017","Other bacterial diseases","A30-A49",40,1050493,3.8
,"Census Region 4: West","CENS-R4","Montana","30","2017","2017","Renal failure","N17-N19",42,1050493,4.0
"Total","Census Region 4: West","CENS-R4","Montana","30","2017","2017",,,82,1050493,7.8
"Total","Census Region 4: West","CENS-R4","Montana","30",,,,,653,8157461,8.0
,"Census Region 4: West","CENS-R4","Nevada","32","2010","2010","Other bacterial diseases","A30-A49",121,2700551,4.5
,"Census Region 4: West","CENS-R4","Nevada","32","2010","2010","Renal failure","N17-N19",121,2700551,4.5
"Total","Census Region 4: West","CENS-R4","Nevada","32","2010","2010",,,242,2700551,9.0
,"Census Region 4: West","CENS-R4","Nevada","32","2011","2011","Other bacterial diseases","A30-A49",143,2723322,5.3
,"Census Region 4: West","CENS-R4","Nevada","32","2011","2011","Renal failure","N17-N19",143,2723322,5.3
"Total","Census Region 4: West","CENS-R4","Nevada","32","2011","2011",,,286,2723322,10.5
,"Census Region 4: West","CENS-R4","Nevada","32","2012","2012","Other bacterial diseases","A30-A49",112,2758931,4.1
,"Census Region 4: West","CENS-R4","Nevada","32","2012","2012","Renal failure","N17-N19",112,2758931,4.1
"Total","Census Region 4: West","CENS-R4","Nevada","32","2012","2012",,,224,2758931,8.1
,"Census Region 4: West","CENS-R4","Nevada","32","2013","2013","Other bacterial diseases","A30-A49",105,2790136,3.8
,"Census Region 4: West","CENS-R4","Nevada","32","2013","2013","Renal failure","N17-N19",105,2790136,3.8
"Total","Census Region 4: West","CENS-R4","Nevada","32","2013","2013",,,210,2790136,7.5
,"Census Region 4: West","CENS-R4","Nevada","32","2014","2014","Other bacterial diseases","A30-A49",109,2839099,3.8
,"Census Region 4: West","CENS-R4","Nevada","32","2014","2014","Renal failure","N17-N19",110,2839099,3.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2014","2014",,,219,2839099,7.7
,"Census Region 4: West","CENS-R4","Nevada","32","2015","2015","Other bacterial diseases","A30-A49",127,2890845,4.4
,"Census Region 4: West","CENS-R4","Nevada","32","2015","2015","Renal failure","N17-N19",130,2890845,4.5
"Total","Census Region 4: West","CENS-R4","Nevada","32","2015","2015",,,257,2890845,8.9
,"Census Region 4: West","CENS-R4","Nevada","32","2016","2016","Other bacterial diseases","A30-A49",165,2940058,5.6
,"Census Region 4: West","CENS-R4","Nevada","32","2016","2016","Renal failure","N17-N19",166,2940058,5.6
"Total","Census Region 4: West","CENS-R4","Nevada","32","2016","2016",,,331,2940058,11.3
,"Census Region 4: West","CENS-R4","Nevada","32","2017","2017","Other bacterial diseases","A30-A49",175,2998039,5.8
,"Census Region 4: West","CENS-R4","Nevada","32","2017","2017","Renal failure","N17-N19",177,2998039,5.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2017","2017",,,352,2998039,11.7
"Total","Census Region 4: West","CENS-R4","Nevada","32",,,,,2121,22640981,9.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2010","2010","Other bacterial diseases","A30-A49",86,2059179,4.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2010","2010","Renal failure","N17-N19",87,2059179,4.2
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2010","2010",,,173,2059179,8.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2011","2011","Other bacterial diseases","A30-A49",93,2082224,4.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2011","2011","Renal failure","N17-N19",93,2082224,4.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2011","2011",,,186,2082224,8.9
,"Census Region 4: West","CENS-R4","New Mexico","35","2012","2012","Other bacterial diseases","A30-A49",83,2085538,4.0
,"Census Region 4: West","CENS-R4","New Mexico","35","2012","2012","Renal failure","N17-N19",84,2085538,4.0
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2012","2012",,,167,2085538,8.0
,"Census Region 4: West","CENS-R4","New Mexico","35","2013","2013","Other bacterial diseases","A30-A49",86,2085287,4.1
,"Census Region 4: West","CENS-R4","New Mexico","35","2013","2013","Renal failure","N17-N19",86,2085287,4.1
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2013","2013",,,172,2085287,8.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2014","2014","Other bacterial diseases","A30-A49",97,2085572,4.7
,"Census Region 4: West","CENS-R4","New Mexico","35","2014","2014","Renal failure","N17-N19",98,2085572,4.7
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2014","2014",,,195,2085572,9.3
,"Census Region 4: West","CENS-R4","New Mexico","35","2015","2015","Other bacterial diseases","A30-A49",116,2085109,5.6
,"Census Region 4: West","CENS-R4","New Mexico","35","2015","2015","Renal failure","N17-N19",117,2085109,5.6
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2015","2015",,,233,2085109,11.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2016","2016","Other bacterial diseases","A30-A49",118,2081015,5.7
,"Census Region 4: West","CENS-R4","New Mexico","35","2016","2016","Renal failure","N17-N19",122,2081015,5.9
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2016","2016",,,240,2081015,11.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2017","2017","Other bacterial diseases","A30-A49",122,2088070,5.8
,"Census Region 4: West","CENS-R4","New Mexico","35","2017","2017","Renal failure","N17-N19",127,2088070,6.1
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2017","2017",,,249,2088070,11.9
"Total","Census Region 4: West","CENS-R4","New Mexico","35",,,,,1615,16651994,9.7
,"Census Region 4: West","CENS-R4","Utah","49","2010","2010","Other bacterial diseases","A30-A49",43,2763885,1.6
,"Census Region 4: West","CENS-R4","Utah","49","2010","2010","Renal failure","N17-N19",44,2763885,1.6
"Total","Census Region 4: West","CENS-R4","Utah","49","2010","2010",,,87,2763885,3.1
,"Census Region 4: West","CENS-R4","Utah","49","2011","2011","Other bacterial diseases","A30-A49",46,2817222,1.6
,"Census Region 4: West","CENS-R4","Utah","49","2011","2011","Renal failure","N17-N19",47,2817222,1.7
"Total","Census Region 4: West","CENS-R4","Utah","49","2011","2011",,,93,2817222,3.3
,"Census Region 4: West","CENS-R4","Utah","49","2012","2012","Other bacterial diseases","A30-A49",53,2855287,1.9
,"Census Region 4: West","CENS-R4","Utah","49","2012","2012","Renal failure","N17-N19",53,2855287,1.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2012","2012",,,106,2855287,3.7
,"Census Region 4: West","CENS-R4","Utah","49","2013","2013","Other bacterial diseases","A30-A49",75,2900872,2.6
,"Census Region 4: West","CENS-R4","Utah","49","2013","2013","Renal failure","N17-N19",77,2900872,2.7
"Total","Census Region 4: West","CENS-R4","Utah","49","2013","2013",,,152,2900872,5.2
,"Census Region 4: West","CENS-R4","Utah","49","2014","2014","Other bacterial diseases","A30-A49",78,2942902,2.7
,"Census Region 4: West","CENS-R4","Utah","49","2014","2014","Renal failure","N17-N19",79,2942902,2.7
"Total","Census Region 4: West","CENS-R4","Utah","49","2014","2014",,,157,2942902,5.3
,"Census Region 4: West","CENS-R4","Utah","49","2015","2015","Other bacterial diseases","A30-A49",68,2995919,2.3
,"Census Region 4: West","CENS-R4","Utah","49","2015","2015","Renal failure","N17-N19",69,2995919,2.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2015","2015",,,137,2995919,4.6
,"Census Region 4: West","CENS-R4","Utah","49","2016","2016","Other bacterial diseases","A30-A49",90,3051217,2.9
,"Census Region 4: West","CENS-R4","Utah","49","2016","2016","Renal failure","N17-N19",90,3051217,2.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2016","2016",,,180,3051217,5.9
,"Census Region 4: West","CENS-R4","Utah","49","2017","2017","Other bacterial diseases","A30-A49",100,3101833,3.2
,"Census Region 4: West","CENS-R4","Utah","49","2017","2017","Renal failure","N17-N19",101,3101833,3.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2017","2017",,,201,3101833,6.5
"Total","Census Region 4: West","CENS-R4","Utah","49",,,,,1113,23429137,4.8
,"Census Region 4: West","CENS-R4","Wyoming","56","2010","2010","Other bacterial diseases","A30-A49",12,563626,Unreliable
,"Census Region 4: West","CENS-R4","Wyoming","56","2010","2010","Renal failure","N17-N19",12,563626,Unreliable
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2010","2010",,,24,563626,4.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2011","2011","Other bacterial diseases","A30-A49",14,568158,Unreliable
,"Census Region 4: West","CENS-R4","Wyoming","56","2011","2011","Renal failure","N17-N19",14,568158,Unreliable
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2011","2011",,,28,568158,4.9
,"Census Region 4: West","CENS-R4","Wyoming","56","2012","2012","Other bacterial diseases","A30-A49",20,576412,3.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2012","2012","Renal failure","N17-N19",20,576412,3.5
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2012","2012",,,40,576412,6.9
,"Census Region 4: West","CENS-R4","Wyoming","56","2013","2013","Other bacterial diseases","A30-A49",23,582658,3.9
,"Census Region 4: West","CENS-R4","Wyoming","56","2013","2013","Renal failure","N17-N19",23,582658,3.9
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2013","2013",,,46,582658,7.9
,"Census Region 4: West","CENS-R4","Wyoming","56","2014","2014","Other bacterial diseases","A30-A49",30,584153,5.1
,"Census Region 4: West","CENS-R4","Wyoming","56","2014","2014","Renal failure","N17-N19",30,584153,5.1
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2014","2014",,,60,584153,10.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2015","2015","Other bacterial diseases","A30-A49",25,586107,4.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2015","2015","Renal failure","N17-N19",25,586107,4.3
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2015","2015",,,50,586107,8.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2016","2016","Other bacterial diseases","A30-A49",18,585501,Unreliable
,"Census Region 4: West","CENS-R4","Wyoming","56","2016","2016","Renal failure","N17-N19",18,585501,Unreliable
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2016","2016",,,36,585501,6.1
,"Census Region 4: West","CENS-R4","Wyoming","56","2017","2017","Other bacterial diseases","A30-A49",33,579315,5.7
,"Census Region 4: West","CENS-R4","Wyoming","56","2017","2017","Renal failure","N17-N19",33,579315,5.7
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2017","2017",,,66,579315,11.4
"Total","Census Region 4: West","CENS-R4","Wyoming","56",,,,,350,4625930,7.6
,"Census Region 4: West","CENS-R4","Alaska","02","2010","2010","Other bacterial diseases","A30-A49",19,710231,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2010","2010","Renal failure","N17-N19",19,710231,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2010","2010",,,38,710231,5.4
,"Census Region 4: West","CENS-R4","Alaska","02","2011","2011","Other bacterial diseases","A30-A49",12,722718,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2011","2011","Renal failure","N17-N19",13,722718,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2011","2011",,,25,722718,3.5
,"Census Region 4: West","CENS-R4","Alaska","02","2012","2012","Other bacterial diseases","A30-A49",23,731449,3.1
,"Census Region 4: West","CENS-R4","Alaska","02","2012","2012","Renal failure","N17-N19",23,731449,3.1
"Total","Census Region 4: West","CENS-R4","Alaska","02","2012","2012",,,46,731449,6.3
,"Census Region 4: West","CENS-R4","Alaska","02","2013","2013","Other bacterial diseases","A30-A49",14,735132,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2013","2013","Renal failure","N17-N19",14,735132,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2013","2013",,,28,735132,3.8
,"Census Region 4: West","CENS-R4","Alaska","02","2014","2014","Other bacterial diseases","A30-A49",13,736732,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2014","2014","Renal failure","N17-N19",13,736732,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2014","2014",,,26,736732,3.5
,"Census Region 4: West","CENS-R4","Alaska","02","2015","2015","Other bacterial diseases","A30-A49",14,738432,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2015","2015","Renal failure","N17-N19",14,738432,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2015","2015",,,28,738432,3.8
,"Census Region 4: West","CENS-R4","Alaska","02","2016","2016","Other bacterial diseases","A30-A49",20,741894,2.7
,"Census Region 4: West","CENS-R4","Alaska","02","2016","2016","Renal failure","N17-N19",20,741894,2.7
"Total","Census Region 4: West","CENS-R4","Alaska","02","2016","2016",,,40,741894,5.4
,"Census Region 4: West","CENS-R4","Alaska","02","2017","2017","Other bacterial diseases","A30-A49",15,739795,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2017","2017","Renal failure","N17-N19",16,739795,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2017","2017",,,31,739795,4.2
"Total","Census Region 4: West","CENS-R4","Alaska","02",,,,,262,5856383,4.5
,"Census Region 4: West","CENS-R4","California","06","2010","2010","Other bacterial diseases","A30-A49",2014,37253956,5.4
,"Census Region 4: West","CENS-R4","California","06","2010","2010","Renal failure","N17-N19",2022,37253956,5.4
"Total","Census Region 4: West","CENS-R4","California","06","2010","2010",,,4036,37253956,10.8
,"Census Region 4: West","CENS-R4","California","06","2011","2011","Other bacterial diseases","A30-A49",2210,37691912,5.9
,"Census Region 4: West","CENS-R4","California","06","2011","2011","Renal failure","N17-N19",2217,37691912,5.9
"Total","Census Region 4: West","CENS-R4","California","06","2011","2011",,,4427,37691912,11.7
,"Census Region 4: West","CENS-R4","California","06","2012","2012","Other bacterial diseases","A30-A49",2119,38041430,5.6
,"Census Region 4: West","CENS-R4","California","06","2012","2012","Renal failure","N17-N19",2126,38041430,5.6
"Total","Census Region 4: West","CENS-R4","California","06","2012","2012",,,4245,38041430,11.2
,"Census Region 4: West","CENS-R4","California","06","2013","2013","Other bacterial diseases","A30-A49",2073,38332521,5.4
,"Census Region 4: West","CENS-R4","California","06","2013","2013","Renal failure","N17-N19",2083,38332521,5.4
"Total","Census Region 4: West","CENS-R4","California","06","2013","2013",,,4156,38332521,10.8
,"Census Region 4: West","CENS-R4","California","06","2014","2014","Other bacterial diseases","A30-A49",2215,38802500,5.7
,"Census Region 4: West","CENS-R4","California","06","2014","2014","Renal failure","N17-N19",2227,38802500,5.7
"Total","Census Region 4: West","CENS-R4","California","06","2014","2014",,,4442,38802500,11.4
,"Census Region 4: West","CENS-R4","California","06","2015","2015","Other bacterial diseases","A30-A49",2418,39144818,6.2
,"Census Region 4: West","CENS-R4","California","06","2015","2015","Renal failure","N17-N19",2443,39144818,6.2
"Total","Census Region 4: West","CENS-R4","California","06","2015","2015",,,4861,39144818,12.4
,"Census Region 4: West","CENS-R4","California","06","2016","2016","Other bacterial diseases","A30-A49",2410,39250017,6.1
,"Census Region 4: West","CENS-R4","California","06","2016","2016","Renal failure","N17-N19",2432,39250017,6.2
"Total","Census Region 4: West","CENS-R4","California","06","2016","2016",,,4842,39250017,12.3
,"Census Region 4: West","CENS-R4","California","06","2017","2017","Other bacterial diseases","A30-A49",2577,39536653,6.5
,"Census Region 4: West","CENS-R4","California","06","2017","2017","Renal failure","N17-N19",2615,39536653,6.6
"Total","Census Region 4: West","CENS-R4","California","06","2017","2017",,,5192,39536653,13.1
"Total","Census Region 4: West","CENS-R4","California","06",,,,,36201,308053807,11.8
,"Census Region 4: West","CENS-R4","Hawaii","15","2010","2010","Other bacterial diseases","A30-A49",73,1360301,5.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2010","2010","Renal failure","N17-N19",73,1360301,5.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2010","2010",,,146,1360301,10.7
,"Census Region 4: West","CENS-R4","Hawaii","15","2011","2011","Other bacterial diseases","A30-A49",60,1374810,4.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2011","2011","Renal failure","N17-N19",62,1374810,4.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2011","2011",,,122,1374810,8.9
,"Census Region 4: West","CENS-R4","Hawaii","15","2012","2012","Other bacterial diseases","A30-A49",77,1392313,5.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2012","2012","Renal failure","N17-N19",78,1392313,5.6
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2012","2012",,,155,1392313,11.1
,"Census Region 4: West","CENS-R4","Hawaii","15","2013","2013","Other bacterial diseases","A30-A49",79,1404054,5.6
,"Census Region 4: West","CENS-R4","Hawaii","15","2013","2013","Renal failure","N17-N19",78,1404054,5.6
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2013","2013",,,157,1404054,11.2
,"Census Region 4: West","CENS-R4","Hawaii","15","2014","2014","Other bacterial diseases","A30-A49",65,1419561,4.6
,"Census Region 4: West","CENS-R4","Hawaii","15","2014","2014","Renal failure","N17-N19",68,1419561,4.8
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2014","2014",,,133,1419561,9.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2015","2015","Other bacterial diseases","A30-A49",52,1431603,3.6
,"Census Region 4: West","CENS-R4","Hawaii","15","2015","2015","Renal failure","N17-N19",53,1431603,3.7
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2015","2015",,,105,1431603,7.3
,"Census Region 4: West","CENS-R4","Hawaii","15","2016","2016","Other bacterial diseases","A30-A49",46,1428557,3.2
,"Census Region 4: West","CENS-R4","Hawaii","15","2016","2016","Renal failure","N17-N19",46,1428557,3.2
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2016","2016",,,92,1428557,6.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2017","2017","Other bacterial diseases","A30-A49",46,1427538,3.2
,"Census Region 4: West","CENS-R4","Hawaii","15","2017","2017","Renal failure","N17-N19",46,1427538,3.2
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2017","2017",,,92,1427538,6.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15",,,,,1002,11238737,8.9
,"Census Region 4: West","CENS-R4","Oregon","41","2010","2010","Other bacterial diseases","A30-A49",115,3831074,3.0
,"Census Region 4: West","CENS-R4","Oregon","41","2010","2010","Renal failure","N17-N19",115,3831074,3.0
"Total","Census Region 4: West","CENS-R4","Oregon","41","2010","2010",,,230,3831074,6.0
,"Census Region 4: West","CENS-R4","Oregon","41","2011","2011","Other bacterial diseases","A30-A49",127,3871859,3.3
,"Census Region 4: West","CENS-R4","Oregon","41","2011","2011","Renal failure","N17-N19",130,3871859,3.4
"Total","Census Region 4: West","CENS-R4","Oregon","41","2011","2011",,,257,3871859,6.6
,"Census Region 4: West","CENS-R4","Oregon","41","2012","2012","Other bacterial diseases","A30-A49",141,3899353,3.6
,"Census Region 4: West","CENS-R4","Oregon","41","2012","2012","Renal failure","N17-N19",143,3899353,3.7
"Total","Census Region 4: West","CENS-R4","Oregon","41","2012","2012",,,284,3899353,7.3
,"Census Region 4: West","CENS-R4","Oregon","41","2013","2013","Other bacterial diseases","A30-A49",160,3930065,4.1
,"Census Region 4: West","CENS-R4","Oregon","41","2013","2013","Renal failure","N17-N19",162,3930065,4.1
"Total","Census Region 4: West","CENS-R4","Oregon","41","2013","2013",,,322,3930065,8.2
,"Census Region 4: West","CENS-R4","Oregon","41","2014","2014","Other bacterial diseases","A30-A49",191,3970239,4.8
,"Census Region 4: West","CENS-R4","Oregon","41","2014","2014","Renal failure","N17-N19",193,3970239,4.9
"Total","Census Region 4: West","CENS-R4","Oregon","41","2014","2014",,,384,3970239,9.7
,"Census Region 4: West","CENS-R4","Oregon","41","2015","2015","Other bacterial diseases","A30-A49",216,4028977,5.4
,"Census Region 4: West","CENS-R4","Oregon","41","2015","2015","Renal failure","N17-N19",217,4028977,5.4
"Total","Census Region 4: West","CENS-R4","Oregon","41","2015","2015",,,433,4028977,10.7
,"Census Region 4: West","CENS-R4","Oregon","41","2016","2016","Other bacterial diseases","A30-A49",205,4093465,5.0
,"Census Region 4: West","CENS-R4","Oregon","41","2016","2016","Renal failure","N17-N19",210,4093465,5.1
"Total","Census Region 4: West","CENS-R4","Oregon","41","2016","2016",,,415,4093465,10.1
,"Census Region 4: West","CENS-R4","Oregon","41","2017","2017","Other bacterial diseases","A30-A49",238,4142776,5.7
,"Census Region 4: West","CENS-R4","Oregon","41","2017","2017","Renal failure","N17-N19",238,4142776,5.7
"Total","Census Region 4: West","CENS-R4","Oregon","41","2017","2017",,,476,4142776,11.5
"Total","Census Region 4: West","CENS-R4","Oregon","41",,,,,2801,31767808,8.8
,"Census Region 4: West","CENS-R4","Washington","53","2010","2010","Other bacterial diseases","A30-A49",351,6724540,5.2
,"Census Region 4: West","CENS-R4","Washington","53","2010","2010","Renal failure","N17-N19",356,6724540,5.3
"Total","Census Region 4: West","CENS-R4","Washington","53","2010","2010",,,707,6724540,10.5
,"Census Region 4: West","CENS-R4","Washington","53","2011","2011","Other bacterial diseases","A30-A49",395,6830038,5.8
,"Census Region 4: West","CENS-R4","Washington","53","2011","2011","Renal failure","N17-N19",396,6830038,5.8
"Total","Census Region 4: West","CENS-R4","Washington","53","2011","2011",,,791,6830038,11.6
,"Census Region 4: West","CENS-R4","Washington","53","2012","2012","Other bacterial diseases","A30-A49",416,6897012,6.0
,"Census Region 4: West","CENS-R4","Washington","53","2012","2012","Renal failure","N17-N19",424,6897012,6.1
"Total","Census Region 4: West","CENS-R4","Washington","53","2012","2012",,,840,6897012,12.2
,"Census Region 4: West","CENS-R4","Washington","53","2013","2013","Other bacterial diseases","A30-A49",479,6971406,6.9
,"Census Region 4: West","CENS-R4","Washington","53","2013","2013","Renal failure","N17-N19",485,6971406,7.0
"Total","Census Region 4: West","CENS-R4","Washington","53","2013","2013",,,964,6971406,13.8
,"Census Region 4: West","CENS-R4","Washington","53","2014","2014","Other bacterial diseases","A30-A49",473,7061530,6.7
,"Census Region 4: West","CENS-R4","Washington","53","2014","2014","Renal failure","N17-N19",477,7061530,6.8
"Total","Census Region 4: West","CENS-R4","Washington","53","2014","2014",,,950,7061530,13.5
,"Census Region 4: West","CENS-R4","Washington","53","2015","2015","Other bacterial diseases","A30-A49",521,7170351,7.3
,"Census Region 4: West","CENS-R4","Washington","53","2015","2015","Renal failure","N17-N19",526,7170351,7.3
"Total","Census Region 4: West","CENS-R4","Washington","53","2015","2015",,,1047,7170351,14.6
,"Census Region 4: West","CENS-R4","Washington","53","2016","2016","Other bacterial diseases","A30-A49",463,7288000,6.4
,"Census Region 4: West","CENS-R4","Washington","53","2016","2016","Renal failure","N17-N19",474,7288000,6.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2016","2016",,,937,7288000,12.9
,"Census Region 4: West","CENS-R4","Washington","53","2017","2017","Other bacterial diseases","A30-A49",458,7405743,6.2
,"Census Region 4: West","CENS-R4","Washington","53","2017","2017","Renal failure","N17-N19",465,7405743,6.3
"Total","Census Region 4: West","CENS-R4","Washington","53","2017","2017",,,923,7405743,12.5
"Total","Census Region 4: West","CENS-R4","Washington","53",,,,,7159,56348620,12.7
"Total","Census Region 4: West","CENS-R4",,,,,,,61608,597944137,10.3
"Total",,,,,,,,,271199,2539502901,10.7
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Census Region; State; Year; MCD - ICD Sub-Chapter"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 6, 2026 1:51:04 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Feb 6, 2026 1:51:04 AM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. These items in the results table are not fully selected: Other bacterial diseases, Renal failure. The Query Description lists"
"the actual values selected."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
