"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Other bacterial diseases","A30-A49",9056,12784227,70.8,52.0
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016",,,9056,12784227,70.8,52.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Other bacterial diseases","A30-A49",8990,12805537,70.2,50.8
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017",,,8990,12805537,70.2,50.8
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42",,,,,67703,102162078,66.3,49.8
"Total","Census Region 1: Northeast","CENS-R1",,,,,,,272365,447659317,60.8,48.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Other bacterial diseases","A30-A49",7153,12830632,55.7,53.0
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010",,,7153,12830632,55.7,53.0
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Other bacterial diseases","A30-A49",7356,12869257,57.2,53.4
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011",,,7356,12869257,57.2,53.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Other bacterial diseases","A30-A49",6968,12875255,54.1,49.6
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012",,,6968,12875255,54.1,49.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Other bacterial diseases","A30-A49",7034,12882135,54.6,49.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013",,,7034,12882135,54.6,49.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Other bacterial diseases","A30-A49",7375,12880580,57.3,50.7
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014",,,7375,12880580,57.3,50.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Other bacterial diseases","A30-A49",7818,12859995,60.8,53.1
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015",,,7818,12859995,60.8,53.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Other bacterial diseases","A30-A49",7630,12801539,59.6,51.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016",,,7630,12801539,59.6,51.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Other bacterial diseases","A30-A49",7998,12802023,62.5,52.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017",,,7998,12802023,62.5,52.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17",,,,,59332,102801416,57.7,51.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Other bacterial diseases","A30-A49",3313,6483802,51.1,47.8
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010",,,3313,6483802,51.1,47.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Other bacterial diseases","A30-A49",3630,6516922,55.7,51.4
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011",,,3630,6516922,55.7,51.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Other bacterial diseases","A30-A49",3767,6537334,57.6,52.6
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012",,,3767,6537334,57.6,52.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Other bacterial diseases","A30-A49",3986,6570902,60.7,54.4
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013",,,3986,6570902,60.7,54.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Other bacterial diseases","A30-A49",4095,6596855,62.1,54.9
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014",,,4095,6596855,62.1,54.9
