"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016",,,2070,6633053,31.2,27.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Renal failure","N17-N19",2029,6666818,30.4,25.9
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017",,,2029,6666818,30.4,25.9
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18",,,,,15623,52625366,29.7,26.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Renal failure","N17-N19",2277,9883640,23.0,20.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010",,,2277,9883640,23.0,20.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Renal failure","N17-N19",2063,9876187,20.9,18.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011",,,2063,9876187,20.9,18.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Renal failure","N17-N19",1946,9883360,19.7,16.5
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012",,,1946,9883360,19.7,16.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Renal failure","N17-N19",1784,9895622,18.0,14.9
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013",,,1784,9895622,18.0,14.9
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Renal failure","N17-N19",1804,9909877,18.2,14.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014",,,1804,9909877,18.2,14.8
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Renal failure","N17-N19",1784,9922576,18.0,14.5
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015",,,1784,9922576,18.0,14.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Renal failure","N17-N19",1701,9928300,17.1,13.6
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016",,,1701,9928300,17.1,13.6
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Renal failure","N17-N19",1611,9962311,16.2,12.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017",,,1611,9962311,16.2,12.8
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26",,,,,14970,79261873,18.9,15.6
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Renal failure","N17-N19",2823,11536504,24.5,21.0
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010",,,2823,11536504,24.5,21.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Renal failure","N17-N19",2819,11544951,24.4,20.5
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011",,,2819,11544951,24.4,20.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Renal failure","N17-N19",2590,11544225,22.4,18.6
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012",,,2590,11544225,22.4,18.6
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Renal failure","N17-N19",2523,11570808,21.8,17.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013",,,2523,11570808,21.8,17.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Renal failure","N17-N19",2492,11594163,21.5,17.3
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014",,,2492,11594163,21.5,17.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Renal failure","N17-N19",2294,11613423,19.8,15.7
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015",,,2294,11613423,19.8,15.7
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Renal failure","N17-N19",2323,11614373,20.0,15.8
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016",,,2323,11614373,20.0,15.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Renal failure","N17-N19",2221,11658609,19.1,14.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017",,,2221,11658609,19.1,14.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39",,,,,20085,92677056,21.7,17.6
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Renal failure","N17-N19",1111,5686986,19.5,16.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010",,,1111,5686986,19.5,16.9
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Renal failure","N17-N19",1124,5711767,19.7,16.7
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011",,,1124,5711767,19.7,16.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Renal failure","N17-N19",1174,5726398,20.5,17.0
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012",,,1174,5726398,20.5,17.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Renal failure","N17-N19",1123,5742713,19.6,16.1
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013",,,1123,5742713,19.6,16.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Renal failure","N17-N19",1218,5757564,21.2,17.2
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014",,,1218,5757564,21.2,17.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015","Renal failure","N17-N19",1249,5771337,21.6,17.4
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015",,,1249,5771337,21.6,17.4
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016","Renal failure","N17-N19",1238,5778708,21.4,16.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016",,,1238,5778708,21.4,16.9
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017","Renal failure","N17-N19",1208,5795483,20.8,16.2
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017",,,1208,5795483,20.8,16.2
