"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2018","2018","Renal failure","N17-N19",281,882235,31.9,25.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2019","2019","Renal failure","N17-N19",313,884659,35.4,27.6
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2020","2020","Renal failure","N17-N19",422,892717,47.3,37.4
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2021","2021","Renal failure","N17-N19",500,895376,55.8,47.8
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2022","2022","Renal failure","N17-N19",426,909824,46.8,38.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2023","2023","Renal failure","N17-N19",380,919318,41.3,33.7
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2024 (provisional)","2024","Renal failure","N17-N19",400,924669,43.3,34.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2025 (provisional and partial)","2025","Renal failure","N17-N19",381,924669,41.2,32.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2026 (provisional and partial)","2026","Renal failure","N17-N19",13,924669,Unreliable,Unreliable
,"Census Region 3: South","CENS-R3","Delaware","10","2018","2018","Renal failure","N17-N19",251,967171,26.0,19.3
,"Census Region 3: South","CENS-R3","Delaware","10","2019","2019","Renal failure","N17-N19",205,973764,21.1,15.6
,"Census Region 3: South","CENS-R3","Delaware","10","2020","2020","Renal failure","N17-N19",276,986809,28.0,20.2
,"Census Region 3: South","CENS-R3","Delaware","10","2021","2021","Renal failure","N17-N19",385,1003384,38.4,27.9
,"Census Region 3: South","CENS-R3","Delaware","10","2022","2022","Renal failure","N17-N19",495,1018396,48.6,35.0
,"Census Region 3: South","CENS-R3","Delaware","10","2023","2023","Renal failure","N17-N19",452,1031890,43.8,31.4
,"Census Region 3: South","CENS-R3","Delaware","10","2024 (provisional)","2024","Renal failure","N17-N19",400,1051917,38.0,27.1
,"Census Region 3: South","CENS-R3","Delaware","10","2025 (provisional and partial)","2025","Renal failure","N17-N19",396,1051917,37.6,26.4
,"Census Region 3: South","CENS-R3","Delaware","10","2026 (provisional and partial)","2026","Renal failure","N17-N19",22,1051917,2.1,1.5
,"Census Region 3: South","CENS-R3","District of Columbia","11","2018","2018","Renal failure","N17-N19",77,702455,11.0,11.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2019","2019","Renal failure","N17-N19",87,705749,12.3,12.5
,"Census Region 3: South","CENS-R3","District of Columbia","11","2020","2020","Renal failure","N17-N19",118,712816,16.6,16.4
,"Census Region 3: South","CENS-R3","District of Columbia","11","2021","2021","Renal failure","N17-N19",142,670050,21.2,21.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2022","2022","Renal failure","N17-N19",225,671803,33.5,32.8
,"Census Region 3: South","CENS-R3","District of Columbia","11","2023","2023","Renal failure","N17-N19",192,678972,28.3,28.2
