"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018","Other bacterial diseases","A30-A49",2528,3572665,70.8,68.0,73.5,51.5,49.5,53.6
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018",,,2528,3572665,70.8,68.0,73.5,51.5,49.5,53.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019","Other bacterial diseases","A30-A49",2560,3565287,71.8,69.0,74.6,51.6,49.6,53.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019",,,2560,3565287,71.8,69.0,74.6,51.6,49.6,53.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Other bacterial diseases","A30-A49",2744,3557006,77.1,74.3,80.0,55.3,53.2,57.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020",,,2744,3557006,77.1,74.3,80.0,55.3,53.2,57.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Other bacterial diseases","A30-A49",2602,3605597,72.2,69.4,74.9,53.9,51.8,56.1
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021",,,2602,3605597,72.2,69.4,74.9,53.9,51.8,56.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Other bacterial diseases","A30-A49",2362,3626205,65.1,62.5,67.8,47.7,45.8,49.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022",,,2362,3626205,65.1,62.5,67.8,47.7,45.8,49.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Other bacterial diseases","A30-A49",2159,3617176,59.7,57.2,62.2,42.9,41.1,44.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023",,,2159,3617176,59.7,57.2,62.2,42.9,41.1,44.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2024","2024","Other bacterial diseases","A30-A49",1867,3675069,50.8,48.5,53.1,35.9,34.3,37.6
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2024","2024",,,1867,3675069,50.8,48.5,53.1,35.9,34.3,37.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1931,3675069,52.5,50.2,54.9,37.1,35.4,38.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional)","2025",,,1931,3675069,52.5,50.2,54.9,37.1,35.4,38.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",223,3675069,6.1,5.3,6.9,4.2,3.7,4.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026",,,223,3675069,6.1,5.3,6.9,4.2,3.7,4.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09",,,,,18976,32569143,58.3,57.4,59.1,41.9,41.3,42.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018","Other bacterial diseases","A30-A49",609,1338404,45.5,41.9,49.1,30.9,28.5,33.6
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018",,,609,1338404,45.5,41.9,49.1,30.9,28.5,33.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019","Other bacterial diseases","A30-A49",434,1344212,32.3,29.2,35.3,22.4,20.2,24.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019",,,434,1344212,32.3,29.2,35.3,22.4,20.2,24.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020","Other bacterial diseases","A30-A49",306,1350141,22.7,20.1,25.2,15.2,13.5,17.2
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020",,,306,1350141,22.7,20.1,25.2,15.2,13.5,17.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021","Other bacterial diseases","A30-A49",306,1372247,22.3,19.8,24.8,15.9,14.1,17.9
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021",,,306,1372247,22.3,19.8,24.8,15.9,14.1,17.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022","Other bacterial diseases","A30-A49",301,1385340,21.7,19.3,24.2,14.5,12.8,16.4
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022",,,301,1385340,21.7,19.3,24.2,14.5,12.8,16.4
,"Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023","Other bacterial diseases","A30-A49",308,1395722,22.1,19.6,24.5,14.9,13.2,16.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023",,,308,1395722,22.1,19.6,24.5,14.9,13.2,16.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2024","2024","Other bacterial diseases","A30-A49",299,1405012,21.3,18.9,23.7,13.5,12.0,15.3
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2024","2024",,,299,1405012,21.3,18.9,23.7,13.5,12.0,15.3
,"Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional)","2025","Other bacterial diseases","A30-A49",274,1405012,19.5,17.2,21.8,12.9,11.3,14.7
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional)","2025",,,274,1405012,19.5,17.2,21.8,12.9,11.3,14.7
,"Census Region 1: Northeast","CENS-R1","Maine","23","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",29,1405012,2.1,1.4,3.0,1.2,0.8,1.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2026 (provisional and partial)","2026",,,29,1405012,2.1,1.4,3.0,1.2,0.8,1.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23",,,,,2866,12401102,23.1,22.3,24.0,15.5,14.9,16.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018","Other bacterial diseases","A30-A49",4377,6902149,63.4,61.5,65.3,49.2,47.7,50.7
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018",,,4377,6902149,63.4,61.5,65.3,49.2,47.7,50.7
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019","Other bacterial diseases","A30-A49",4169,6892503,60.5,58.6,62.3,46.1,44.7,47.5
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019",,,4169,6892503,60.5,58.6,62.3,46.1,44.7,47.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020","Other bacterial diseases","A30-A49",4831,6893574,70.1,68.1,72.1,53.2,51.7,54.8
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020",,,4831,6893574,70.1,68.1,72.1,53.2,51.7,54.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2021","2021","Other bacterial diseases","A30-A49",4520,6984723,64.7,62.8,66.6,50.5,49.1,52.1
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2021","2021",,,4520,6984723,64.7,62.8,66.6,50.5,49.1,52.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2022","2022","Other bacterial diseases","A30-A49",4643,6981974,66.5,64.6,68.4,49.8,48.3,51.3
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2022","2022",,,4643,6981974,66.5,64.6,68.4,49.8,48.3,51.3
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2023","2023","Other bacterial diseases","A30-A49",4511,7001399,64.4,62.5,66.3,48.4,47.0,49.9
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2023","2023",,,4511,7001399,64.4,62.5,66.3,48.4,47.0,49.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2024","2024","Other bacterial diseases","A30-A49",4573,7136171,64.1,62.2,65.9,47.6,46.2,49.0
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2024","2024",,,4573,7136171,64.1,62.2,65.9,47.6,46.2,49.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2025 (provisional)","2025","Other bacterial diseases","A30-A49",4718,7136171,66.1,64.2,68.0,49.0,47.6,50.4
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2025 (provisional)","2025",,,4718,7136171,66.1,64.2,68.0,49.0,47.6,50.4
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",493,7136171,6.9,6.3,7.5,5.1,4.7,5.6
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2026 (provisional and partial)","2026",,,493,7136171,6.9,6.3,7.5,5.1,4.7,5.6
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25",,,,,36835,63064835,58.4,57.8,59.0,44.1,43.6,44.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2018","2018","Other bacterial diseases","A30-A49",711,1356458,52.4,48.6,56.3,39.3,36.4,42.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2018","2018",,,711,1356458,52.4,48.6,56.3,39.3,36.4,42.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2019","2019","Other bacterial diseases","A30-A49",745,1359711,54.8,50.9,58.7,40.3,37.4,43.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2019","2019",,,745,1359711,54.8,50.9,58.7,40.3,37.4,43.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2020","2020","Other bacterial diseases","A30-A49",692,1366275,50.6,46.9,54.4,36.0,33.3,38.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2020","2020",,,692,1366275,50.6,46.9,54.4,36.0,33.3,38.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2021","2021","Other bacterial diseases","A30-A49",726,1388992,52.3,48.5,56.1,38.9,36.0,42.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2021","2021",,,726,1388992,52.3,48.5,56.1,38.9,36.0,42.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2022","2022","Other bacterial diseases","A30-A49",855,1395231,61.3,57.2,65.4,42.9,40.0,46.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2022","2022",,,855,1395231,61.3,57.2,65.4,42.9,40.0,46.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2023","2023","Other bacterial diseases","A30-A49",793,1402054,56.6,52.6,60.5,38.9,36.2,41.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2023","2023",,,793,1402054,56.6,52.6,60.5,38.9,36.2,41.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2024","2024","Other bacterial diseases","A30-A49",777,1409032,55.1,51.3,59.0,37.2,34.5,40.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2024","2024",,,777,1409032,55.1,51.3,59.0,37.2,34.5,40.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2025 (provisional)","2025","Other bacterial diseases","A30-A49",769,1409032,54.6,50.7,58.4,37.0,34.4,39.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2025 (provisional)","2025",,,769,1409032,54.6,50.7,58.4,37.0,34.4,39.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",81,1409032,5.7,4.6,7.1,4.1,3.2,5.2
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2026 (provisional and partial)","2026",,,81,1409032,5.7,4.6,7.1,4.1,3.2,5.2
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33",,,,,6149,12495817,49.2,48.0,50.4,34.7,33.8,35.6
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2018","2018","Other bacterial diseases","A30-A49",672,1057315,63.6,58.8,68.4,46.9,43.3,50.7
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2018","2018",,,672,1057315,63.6,58.8,68.4,46.9,43.3,50.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2019","2019","Other bacterial diseases","A30-A49",624,1059361,58.9,54.3,63.5,43.0,39.6,46.6
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2019","2019",,,624,1059361,58.9,54.3,63.5,43.0,39.6,46.6
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2020","2020","Other bacterial diseases","A30-A49",662,1057125,62.6,57.9,67.4,45.3,41.8,49.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2020","2020",,,662,1057125,62.6,57.9,67.4,45.3,41.8,49.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2021","2021","Other bacterial diseases","A30-A49",597,1095610,54.5,50.1,58.9,40.5,37.2,44.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2021","2021",,,597,1095610,54.5,50.1,58.9,40.5,37.2,44.0
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2022","2022","Other bacterial diseases","A30-A49",570,1093734,52.1,47.8,56.4,38.1,34.9,41.5
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2022","2022",,,570,1093734,52.1,47.8,56.4,38.1,34.9,41.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2023","2023","Other bacterial diseases","A30-A49",455,1095962,41.5,37.7,45.3,30.2,27.4,33.2
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2023","2023",,,455,1095962,41.5,37.7,45.3,30.2,27.4,33.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2024","2024","Other bacterial diseases","A30-A49",537,1112308,48.3,44.2,52.4,34.5,31.6,37.7
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2024","2024",,,537,1112308,48.3,44.2,52.4,34.5,31.6,37.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2025 (provisional)","2025","Other bacterial diseases","A30-A49",481,1112308,43.2,39.4,47.1,31.5,28.7,34.6
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2025 (provisional)","2025",,,481,1112308,43.2,39.4,47.1,31.5,28.7,34.6
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",74,1112308,6.7,5.2,8.4,5.0,3.9,6.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2026 (provisional and partial)","2026",,,74,1112308,6.7,5.2,8.4,5.0,3.9,6.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44",,,,,4672,9796031,47.7,46.3,49.1,34.6,33.6,35.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2018","2018","Other bacterial diseases","A30-A49",248,626299,39.6,34.7,44.5,28.2,24.7,32.1
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2018","2018",,,248,626299,39.6,34.7,44.5,28.2,24.7,32.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2019","2019","Other bacterial diseases","A30-A49",271,623989,43.4,38.3,48.6,30.3,26.7,34.4
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2019","2019",,,271,623989,43.4,38.3,48.6,30.3,26.7,34.4
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2020","2020","Other bacterial diseases","A30-A49",326,623347,52.3,46.6,58.0,35.9,32.0,40.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2020","2020",,,326,623347,52.3,46.6,58.0,35.9,32.0,40.2
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2021","2021","Other bacterial diseases","A30-A49",339,645570,52.5,46.9,58.1,38.0,34.0,42.7
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2021","2021",,,339,645570,52.5,46.9,58.1,38.0,34.0,42.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2022","2022","Other bacterial diseases","A30-A49",348,647064,53.8,48.1,59.4,36.7,32.8,41.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2022","2022",,,348,647064,53.8,48.1,59.4,36.7,32.8,41.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2023","2023","Other bacterial diseases","A30-A49",378,647464,58.4,52.5,64.3,40.2,36.1,44.7
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2023","2023",,,378,647464,58.4,52.5,64.3,40.2,36.1,44.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2024","2024","Other bacterial diseases","A30-A49",360,648493,55.5,49.8,61.2,36.2,32.4,40.3
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2024","2024",,,360,648493,55.5,49.8,61.2,36.2,32.4,40.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2025 (provisional)","2025","Other bacterial diseases","A30-A49",350,648493,54.0,48.3,59.6,35.7,31.9,39.9
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2025 (provisional)","2025",,,350,648493,54.0,48.3,59.6,35.7,31.9,39.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",29,648493,4.5,3.0,6.4,2.8,1.9,4.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2026 (provisional and partial)","2026",,,29,648493,4.5,3.0,6.4,2.8,1.9,4.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50",,,,,2649,5759212,46.0,44.2,47.7,31.4,30.2,32.7
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2018","2018","Other bacterial diseases","A30-A49",6847,8908520,76.9,75.0,78.7,60.3,58.8,61.8
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2018","2018",,,6847,8908520,76.9,75.0,78.7,60.3,58.8,61.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2019","2019","Other bacterial diseases","A30-A49",6540,8882190,73.6,71.8,75.4,57.0,55.6,58.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2019","2019",,,6540,8882190,73.6,71.8,75.4,57.0,55.6,58.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2020","2020","Other bacterial diseases","A30-A49",8471,8882371,95.4,93.3,97.4,73.2,71.7,74.8
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2020","2020",,,8471,8882371,95.4,93.3,97.4,73.2,71.7,74.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2021","2021","Other bacterial diseases","A30-A49",7762,9267130,83.8,81.9,85.6,66.4,64.9,67.9
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2021","2021",,,7762,9267130,83.8,81.9,85.6,66.4,64.9,67.9
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2022","2022","Other bacterial diseases","A30-A49",7633,9261699,82.4,80.6,84.3,62.9,61.5,64.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2022","2022",,,7633,9261699,82.4,80.6,84.3,62.9,61.5,64.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2023","2023","Other bacterial diseases","A30-A49",6893,9290841,74.2,72.4,75.9,56.9,55.5,58.3
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2023","2023",,,6893,9290841,74.2,72.4,75.9,56.9,55.5,58.3
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2024","2024","Other bacterial diseases","A30-A49",6819,9500851,71.8,70.1,73.5,54.5,53.2,55.8
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2024","2024",,,6819,9500851,71.8,70.1,73.5,54.5,53.2,55.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2025 (provisional)","2025","Other bacterial diseases","A30-A49",6968,9500851,73.3,71.6,75.1,55.9,54.6,57.2
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2025 (provisional)","2025",,,6968,9500851,73.3,71.6,75.1,55.9,54.6,57.2
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",736,9500851,7.7,7.2,8.3,5.9,5.5,6.3
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2026 (provisional and partial)","2026",,,736,9500851,7.7,7.2,8.3,5.9,5.5,6.3
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34",,,,,58669,82995304,70.7,70.1,71.3,54.4,54.0,54.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2018","2018","Other bacterial diseases","A30-A49",10818,19542209,55.4,54.3,56.4,42.9,42.1,43.7
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2018","2018",,,10818,19542209,55.4,54.3,56.4,42.9,42.1,43.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2019","2019","Other bacterial diseases","A30-A49",10793,19453561,55.5,54.4,56.5,42.2,41.4,43.1
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2019","2019",,,10793,19453561,55.5,54.4,56.5,42.2,41.4,43.1
,"Census Region 1: Northeast","CENS-R1","New York","36","2020","2020","Other bacterial diseases","A30-A49",12576,19336776,65.0,63.9,66.2,49.0,48.2,49.9
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2020","2020",,,12576,19336776,65.0,63.9,66.2,49.0,48.2,49.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2021","2021","Other bacterial diseases","A30-A49",12996,19835913,65.5,64.4,66.6,50.3,49.5,51.2
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2021","2021",,,12996,19835913,65.5,64.4,66.6,50.3,49.5,51.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2022","2022","Other bacterial diseases","A30-A49",13433,19677151,68.3,67.1,69.4,50.6,49.7,51.5
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2022","2022",,,13433,19677151,68.3,67.1,69.4,50.6,49.7,51.5
,"Census Region 1: Northeast","CENS-R1","New York","36","2023","2023","Other bacterial diseases","A30-A49",12606,19571216,64.4,63.3,65.5,47.5,46.6,48.3
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2023","2023",,,12606,19571216,64.4,63.3,65.5,47.5,46.6,48.3
,"Census Region 1: Northeast","CENS-R1","New York","36","2024","2024","Other bacterial diseases","A30-A49",12626,19867248,63.6,62.4,64.7,46.1,45.3,47.0
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2024","2024",,,12626,19867248,63.6,62.4,64.7,46.1,45.3,47.0
,"Census Region 1: Northeast","CENS-R1","New York","36","2025 (provisional)","2025","Other bacterial diseases","A30-A49",12890,19867248,64.9,63.8,66.0,47.0,46.1,47.8
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2025 (provisional)","2025",,,12890,19867248,64.9,63.8,66.0,47.0,46.1,47.8
,"Census Region 1: Northeast","CENS-R1","New York","36","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",1356,19867248,6.8,6.5,7.2,4.9,4.7,5.2
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2026 (provisional and partial)","2026",,,1356,19867248,6.8,6.5,7.2,4.9,4.7,5.2
"Total","Census Region 1: Northeast","CENS-R1","New York","36",,,,,100094,177018570,56.5,56.2,56.9,42.1,41.9,42.4
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2018","2018","Other bacterial diseases","A30-A49",9006,12807060,70.3,68.9,71.8,50.3,49.2,51.4
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2018","2018",,,9006,12807060,70.3,68.9,71.8,50.3,49.2,51.4
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2019","2019","Other bacterial diseases","A30-A49",8712,12801989,68.1,66.6,69.5,48.2,47.2,49.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2019","2019",,,8712,12801989,68.1,66.6,69.5,48.2,47.2,49.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2020","2020","Other bacterial diseases","A30-A49",10070,12783254,78.8,77.2,80.3,55.3,54.2,56.5
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2020","2020",,,10070,12783254,78.8,77.2,80.3,55.3,54.2,56.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2021","2021","Other bacterial diseases","A30-A49",11410,12964056,88.0,86.4,89.6,64.1,62.9,65.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2021","2021",,,11410,12964056,88.0,86.4,89.6,64.1,62.9,65.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2022","2022","Other bacterial diseases","A30-A49",11158,12972008,86.0,84.4,87.6,60.7,59.5,61.8
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2022","2022",,,11158,12972008,86.0,84.4,87.6,60.7,59.5,61.8
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2023","2023","Other bacterial diseases","A30-A49",10728,12961683,82.8,81.2,84.3,58.2,57.1,59.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2023","2023",,,10728,12961683,82.8,81.2,84.3,58.2,57.1,59.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2024","2024","Other bacterial diseases","A30-A49",10744,13078751,82.1,80.6,83.7,56.8,55.7,58.0
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2024","2024",,,10744,13078751,82.1,80.6,83.7,56.8,55.7,58.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2025 (provisional)","2025","Other bacterial diseases","A30-A49",10831,13078751,82.8,81.3,84.4,57.3,56.2,58.5
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2025 (provisional)","2025",,,10831,13078751,82.8,81.3,84.4,57.3,56.2,58.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",1131,13078751,8.6,8.1,9.2,5.9,5.6,6.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2026 (provisional and partial)","2026",,,1131,13078751,8.6,8.1,9.2,5.9,5.6,6.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42",,,,,83790,116526303,71.9,71.4,72.4,50.6,50.3,51.0
"Total","Census Region 1: Northeast","CENS-R1",,,,,,,314700,512626317,61.4,61.2,61.6,45.0,44.9,45.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2018","2018","Other bacterial diseases","A30-A49",7996,12741080,62.8,61.4,64.1,51.7,50.5,52.8
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2018","2018",,,7996,12741080,62.8,61.4,64.1,51.7,50.5,52.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2019","2019","Other bacterial diseases","A30-A49",7880,12671821,62.2,60.8,63.6,50.4,49.2,51.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2019","2019",,,7880,12671821,62.2,60.8,63.6,50.4,49.2,51.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2020","2020","Other bacterial diseases","A30-A49",8848,12587530,70.3,68.8,71.8,56.1,54.9,57.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2020","2020",,,8848,12587530,70.3,68.8,71.8,56.1,54.9,57.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2021","2021","Other bacterial diseases","A30-A49",8687,12671469,68.6,67.1,70.0,56.2,55.0,57.4
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2021","2021",,,8687,12671469,68.6,67.1,70.0,56.2,55.0,57.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2022","2022","Other bacterial diseases","A30-A49",8920,12582032,70.9,69.4,72.4,55.9,54.7,57.1
