"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2014","2014","Other bacterial diseases","A30-A49","50-54 years","50-54",754,22570809,3.3
,"2014","2014","Other bacterial diseases","A30-A49","55-59 years","55-59",1157,21511449,5.4
,"2014","2014","Other bacterial diseases","A30-A49","60-64 years ","60-64",1451,18566132,7.8
,"2014","2014","Other bacterial diseases","A30-A49","65-69 years","65-69",1739,15325266,11.3
,"2014","2014","Other bacterial diseases","A30-A49","70-74 years","70-74",1946,11073024,17.6
,"2014","2014","Other bacterial diseases","A30-A49","75-79 years","75-79",2122,7922324,26.8
,"2014","2014","Other bacterial diseases","A30-A49","80-84 years","80-84",2295,5760366,39.8
,"2014","2014","Other bacterial diseases","A30-A49","85-89 years","85-89",2436,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","90-94 years","90-94",1561,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","95-99 years","95-99",479,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","100+ years","100+",78,Not Applicable,Not Applicable
"Total","2014","2014","Other bacterial diseases","A30-A49",,,17067,318857056,5.4
,"2014","2014","Renal failure","N17-N19","15-19 years","15-19",14,21067647,Unreliable
,"2014","2014","Renal failure","N17-N19","20-24 years","20-24",25,22912174,0.1
,"2014","2014","Renal failure","N17-N19","25-29 years","25-29",57,21987938,0.3
,"2014","2014","Renal failure","N17-N19","30-34 years","30-34",90,21528566,0.4
,"2014","2014","Renal failure","N17-N19","35-39 years","35-39",143,19921650,0.7
,"2014","2014","Renal failure","N17-N19","40-44 years","40-44",266,20591483,1.3
,"2014","2014","Renal failure","N17-N19","45-49 years","45-49",447,20888042,2.1
,"2014","2014","Renal failure","N17-N19","50-54 years","50-54",760,22570809,3.4
